字词,拼音
"人誉","rén yù"
"人元","rén yuán"
"人员","rén yuán"
"人缘","rén yuán"
"人月圆","rén yuè yuán"
"人云亦云","rén yún yì yún"
"人造","rén zào"
"人造板","rén zào bǎn"
"人造冰","rén zào bīnɡ"
"人造地球卫星","rén zào dì qiú wèi xīnɡ"
"人造革","rén zào ɡé"
"人造湖","rén zào hú"
"人造天体天文代号","rén zào tiān tǐ tiān wén dài hào"
"人造卫星","rén zào wèi xīnɡ"
"人造行星","rén zào xínɡ xīnɡ"
"人造月球卫星","rén zào yuè qiú wèi xīnɡ"
"人渣","rén zhā"
"人鲊瓮","rén  wènɡ"
"人阵","rén zhèn"
"人正","rén zhènɡ"
"人证","rén zhènɡ"
"人之常情","rén zhī chánɡ qínɡ"
"人之子","rén zhī zǐ"
"人治","rén zhì"
"人彘","rén zhì"
"人中龙","rén zhōnɡ lónɡ"
"人种学","rén zhǒnɡ xué"
"人众","rén zhònɡ"
"人主","rén zhǔ"
"人爪","rén zhǎo"
"人资","rén zī"
"人子","rén zǐ"
"人自为战","rén zì wéi zhàn"
"人自为政","rén zì wéi zhènɡ"
"人宗","rén zōnɡ"
"人踪","rén zōnɡ"
"人足家给","rén zú jiā ɡěi"
"人卒","rén zú"
"仁爱","rén ài"
"仁鄙","rén bǐ"
"仁宾","rén bīn"
"仁参","rén cān"
"仁草","rén cǎo"
"仁恻","rén cè"
"仁策","rén cè"
"仁祠","rén cí"
"仁丹","rén dān"
"仁丹胡","rén dān hú"
"仁丹胡须","rén dān hú xū"
"仁道","rén dào"
"仁德","rén dé"
"仁德堂","rén dé tánɡ"
"仁弟","rén dì"
"仁董","rén dǒnɡ"
"仁笃","rén dǔ"
"仁恩","rén ēn"
"仁方","rén fānɡ"
"仁风","rén fēnɡ"
"仁佛阁","rén fó ɡé"
"仁公","rén ɡōnɡ"
"仁姑","rén ɡū"
"仁果","rén ɡuǒ"
"仁和","rén hé"
"仁厚","rén hòu"
"仁化","rén huà"
"仁皇","rén huánɡ"
"仁诲","rén huì"
"仁惠","rén huì"
"仁矜","rén jīn"
"仁谨","rén jǐn"
"仁境","rén jìnɡ"
"仁决","rén jué"
"仁君","rén jūn"
"仁里","rén lǐ"
"仁良","rén liánɡ"
"仁庙","rén miào"
"仁民","rén mín"
"仁悯","rén mǐn"
"仁明","rén mínɡ"
"仁鸟","rén niǎo"
"仁懦","rén nuò"
"仁频","rén pín"
"仁朴","rén pǔ"
"仁妻","rén qī"
"仁气","rén qì"
"仁洽","rén qià"
"仁强","rén qiánɡ"
"仁让","rén rànɡ"
"仁人","rén rén"
"仁人君子","rén rén jūn zǐ"
"仁人义士","rén rén yì shì"
"仁人志士","rén rén zhì shì"
"仁仁","rén rén"
"仁柔","rén róu"
"仁瑞","rén ruì"
"仁弱","rén ruò"
"仁善","rén shàn"
"仁声","rén shēnɡ"
"仁圣","rén shènɡ"
"仁士","rén shì"
"仁事","rén shì"
"仁寿","rén shòu"
"仁寿节","rén shòu jié"
"仁寿木","rén shòu mù"
"柔曼","róu màn"
"柔蔓","róu màn"
"柔毛","róu máo"
"柔茂","róu mào"
"柔美","róu měi"
"柔媚","róu mèi"
"柔靡","róu mí"
"柔民","róu mín"
"柔明","róu mínɡ"
"柔默","róu mò"
"柔木","róu mù"
"柔睦","róu mù"
"柔讷","róu nè"
"柔嫩","róu nèn"
"柔腻","róu nì"
"柔佞","róu nìnɡ"
"柔奴","róu nú"
"柔暖","róu nuǎn"
"柔懦","róu nuò"
"柔懦寡断","róu nuò ɡuǎ duàn"
"柔辔","róu pèi"
"柔齐","róu qí"
"柔祇","róu ruǎn"
"柔气","róu qì"
"柔谦","róu qiān"
"柔强","róu qiánɡ"
"柔癿","róu yōnɡ"
"柔情","róu qínɡ"
"柔情绰态","róu qínɡ chuō tài"
"柔情媚态","róu qínɡ mèi tài"
"柔情密意","róu qínɡ mì yì"
"柔情蜜意","róu qínɡ mì yì"
"柔情侠骨","róu qínɡ xiá ɡǔ"
"柔牷","róu quán"
"柔悫","róu què"
"柔然","róu rán"
"柔穰","róu ránɡ"
"柔桡","róu ráo"
"柔扰","róu rǎo"
"柔仁","róu rén"
"柔忍","róu rěn"
"柔荏","róu rěn"
"柔刃","róu rèn"
"柔韧","róu rèn"
"柔日","róu rì"
"柔融","róu rónɡ"
"柔茹","róu rú"
"柔茹刚吐","róu rú ɡānɡ tǔ"
"柔濡","róu rú"
"柔蠕","róu rú"
"柔软","róu ruǎn"
"柔愞","róu nuò"
"柔蝡","róu ruǎn"
"柔润","róu rùn"
"柔弱","róu ruò"
"柔桑","róu sānɡ"
"柔色","róu sè"
"柔善","róu shàn"
"柔舌","róu shé"
"柔伸","róu shēn"
"柔慎","róu shèn"
"柔声","róu shēnɡ"
"柔声下气","róu shēnɡ xià qì"
"柔胜","róu shènɡ"
"柔石(1902-1931)","róu shí           "
"柔淑","róu shū"
"柔蔬","róu shū"
"柔术","róu shù"
"柔顺","róu shùn"
"柔胎","róu tāi"
"柔态","róu tài"
"柔汤","róu tānɡ"
"柔条","róu tiáo"
"柔铁","róu tiě"
"柔铤","róu dìnɡ"
"柔同","róu tónɡ"
"柔婉","róu wǎn"
"柔温","róu wēn"
"柔握","róu wò"
"柔武","róu wǔ"
"柔习","róu xí"
"柔细","róu xì"
"柔纤","róu xiān"
"柔闲","róu xián"
"柔乡","róu xiānɡ"
"柔邪","róu xié"
"柔心","róu xīn"
"柔性","róu xìnɡ"
"柔需","róu xū"
"柔煦","róu xù"
"柔驯","róu xùn"
"柔训","róu xùn"
"柔逊","róu xùn"
"柔巽","róu xùn"
"柔雅","róu yǎ"
"柔颜","róu yán"
"柔艳","róu yàn"
"柔冶","róu yě"
"柔液","róu yè"
"柔荑","róu yí"
"柔易","róu yì"
"柔嫕","róu yì"
"柔毅","róu yì"
"柔莹","róu yínɡ"
"柔鱼","róu yú"
"柔腴","róu yú"
"柔远","róu yuǎn"
"柔远怀迩","róu yuǎn huái ěr"
"柔远怀来","róu yuǎn huái lái"
"柔远能迩","róu yuǎn nénɡ ěr"
"柔远绥怀","róu yuǎn suí huái"
"柔远镇迩","róu yuǎn zhèn ěr"
"柔愿","róu yuàn"
"柔则","róu zé"
"柔泽","róu zé"
"柔兆","róu zhào"
"柔枝嫩条","róu zhī nèn tiáo"
"柔枝嫩叶","róu zhī nèn yè"
"柔指","róu zhǐ"
"柔质","róu zhì"
"柔穉","róu "
"柔中","róu zhōnɡ"
"柔种","róu zhǒnɡ"
"揉擦","róu cā"
"揉搓","róu cuō"
"揉错","róu cuò"
"揉耳","róu ěr"
"揉辐","róu fú"
"揉革","róu ɡé"
"揉合","róu hé"
"揉和","róu hé"
"揉慁","róu hùn"
"揉藉","róu jiè"
"揉莒","róu jǔ"
"揉蓝","róu lán"
"揉炼","róu liàn"
"揉摩","róu mó"
"揉磨","róu mó"
"揉捏","róu niē"
"揉弄","róu nònɡ"
"揉挪","róu nuó"
"揉砑","róu yà"
"揉杂","róu zá"
"揉制","róu zhì"
"揉斲","róu zhuó"
"揉濯","róu zhuó"
"揉l","róu "
"糅合","róu hé"
"糅莒","róu jǔ"
"糅杂","róu zá"
"蝚蚳","kūn "
"蝚虫","kūn chónɡ"
"蝚蠕","kūn rú"
"蝚蝯","kūn yuán"
"蝚蛅","kūn zhān"
"蹂蹈","róu dǎo"
"蹂蹀","róu dié"
"蹂践","róu jiàn"
"蹂轹","róu lì"
"辱身败名","rǔ shēn bài mínɡ"
"辱仕","rǔ shì"
"辱台","rǔ tái"
"辱污","rǔ wū"
"辱行","rǔ xínɡ"
"辱游","rǔ yóu"
"辱在","rǔ zài"
"辱照","rǔ zhào"
"辱知","rǔ zhī"
"辱子","rǔ zǐ"
"入安居","rù ān jū"
"入邦问俗","rù bānɡ wèn sú"
"入币","rù bì"
"入殡","rù bìn"
"入钹","rù bó"
"入不敷出","rù bù fū chū"
"入草物","rù cǎo wù"
"入禅","rù chán"
"入场","rù chǎnɡ"
"入抄","rù chāo"
"入超","rù chāo"
"入朝","rù cháo"
"入臣","rù chén"
"入宠","rù chǒnɡ"
"入出","rù chū"
"入褚","rù chǔ"
"入次","rù cì"
"入党","rù dǎnɡ"
"入道","rù dào"
"入德","rù dé"
"入等","rù děnɡ"
"入地","rù dì"
"入地无门","rù dì wú mén"
"入第","rù dì"
"入调","rù diào"
"入定","rù dìnɡ"
"入队","rù duì"
"入对","rù duì"
"入犯","rù fàn"
"入房","rù fánɡ"
"入伏","rù fú"
"入服","rù fú"
"入港","rù ɡǎnɡ"
"入告","rù ɡào"
"入阁","rù ɡé"
"入阁登坛","rù ɡé dēnɡ tán"
"入格","rù ɡé"
"入贡","rù ɡònɡ"
"入彀","rù ɡòu"
"入谷","rù ɡǔ"
"入股","rù ɡǔ"
"入骨","rù ɡǔ"
"入官","rù ɡuān"
"入冠","rù ɡuàn"
"入馆","rù ɡuǎn"
"入国问俗","rù ɡuó wèn sú"
"入海算沙","rù hǎi suàn shā"
"入合","rù hé"
"入贺","rù hè"
"入户","rù hù"
"入化","rù huà"
"入画","rù huà"
"入话","rù huà"
"入宦","rù huàn"
"入火","rù huǒ"
"入伙","rù huǒ"
"入货","rù huò"
"入机","rù jī"
"入赍","rù jī"
"入籍","rù jí"
"入己","rù jǐ"
"入己赃","rù jǐ zānɡ"
"入计","rù jì"
"入甲","rù jiǎ"
"入价","rù jià"
"入奸","rù jiān"
"入肩","rù jiān"
"入监","rù jiān"
"入见","rù jiàn"
"入降","rù jiànɡ"
"入脚","rù jiǎo"
"入教","rù jiào"
"入刼","rù fēnɡ"
"入禁","rù jìn"
"入觐","rù jìn"
"入井","rù jǐnɡ"
"入竟","rù jìnɡ"
"入竟问禁","rù jìnɡ wèn jìn"
"入境","rù jìnɡ"
"入境问禁","rù jìnɡ wèn jìn"
"入境证","rù jìnɡ zhènɡ"
"入静","rù jìnɡ"
"入局","rù jú"
"入口","rù kǒu"
"入寇","rù kòu"
"入库","rù kù"
"入款","rù kuǎn"
"入来","rù lái"
"入览","rù lǎn"
"入理","rù lǐ"
"入立","rù lì"
"入苙","rù yì"
"入帘","rù lián"
"入殓","rù liàn"
"入列","rù liè"
"入林","rù lín"
"入临","rù lín"
"入流","rù liú"
"入律","rù lǜ"
"入马","rù mǎ"
"入寐","rù mèi"
"入门问讳","rù mén wèn huì"
"入门杖子","rù mén zhànɡ zǐ"
"入梦","rù mènɡ"
"入眠","rù mián"
"入妙","rù miào"
"入灭","rù miè"
"入民","rù mín"
"入冥","rù mínɡ"
"入木","rù mù"
"入目","rù mù"
"入幕","rù mù"
"入幕宾","rù mù bīn"
"入暮","rù mù"
"入难","rù nán"
"入囊","rù nánɡ"
"入鸥","rù ōu"
"入泮","rù pàn"
"入品","rù pǐn"
"入破","rù pò"
"入气日","rù qì rì"
"入迁","rù qiān"
"入钱","rù qián"
"入侵","rù qīn"
"入寝","rù qǐn"
"入情入理","rù qínɡ rù lǐ"
"入去","rù qù"
"入趣","rù qù"
"入人","rù rén"
"入入","rù rù"
"入入贴贴","rù rù tiē tiē"
"入塞","rù sāi"
"入山","rù shān"
"入绍","rù shào"
"入舍","rù shě"
"入射角","rù shè jiǎo"
"入身","rù shēn"
"入深","rù shēn"
"入声","rù shēnɡ"
"入圣","rù shènɡ"
"入圣超凡","rù shènɡ chāo fán"
"入世","rù shì"
"入仕","rù shì"
"入市","rù shì"
"入式","rù shì"
"入侍","rù shì"
"入试","rù shì"
"入室","rù shì"
"入室操戈","rù shì cāo ɡē"
"入室弟子","rù shì dì zǐ"
"润益","rùn yì"
"润淤","rùn yū"
"润雨","rùn yǔ"
"润玉","rùn yù"
"润泽","rùn zé"
"润正","rùn zhènɡ"
"润致","rùn zhì"
"润滋","rùn zī"
"润滋滋","rùn zī zī"
"閏鍅","zī jī"
"閏货","zī huò"
"閏基","zī jī"
"挼搓","luò cuō"
"挼祭","luò jì"
"挼蓝","luò lán"
"挼捺","luò nà"
"挼弄","luò nònɡ"
"挼摖","luò qì"
"挼曲子","luò qǔ zǐ"
"挼挱","luò "
"挼莎","luò shā"
"挼挲","luò suō"
"挼舞","luò wǔ"
"挼渍","luò zì"
"捼莎","wō shā"
"捼莏","wō suō"
"若敖","ruò áo"
"若敖鬼","ruò áo ɡuǐ"
"若辈","ruò bèi"
"若崩厥角","ruò bēnɡ jué jiǎo"
"若不沙","ruò bù shā"
"若不胜衣","ruò bù shènɡ yī"
"若曹","ruò cáo"
"若出一轨","ruò chū yī ɡuǐ"
"若出一辙","ruò chū yī zhé"
"若此","ruò cǐ"
"若存若亡","ruò cún ruò wánɡ"
"若大若小","ruò dà ruò xiǎo"
"若而","ruò ér"
"若尔","ruò ěr"
"若芳","ruò fānɡ"
"若非","ruò fēi"
"若夫","ruò fū"
"若个","ruò ɡè"
"若苟","ruò ɡǒu"
"若光","ruò ɡuānɡ"
"若果","ruò ɡuǒ"
"若何","ruò hé"
"若华","ruò huá"
"若惠","ruò huì"
"若或","ruò huò"
"若即若离","ruò jí ruò lí"
"若酒","ruò jiǔ"
"若菌","ruò jūn"
"若口引","ruò kǒu yǐn"
"若离若即","ruò lí ruò jí"
"若留","ruò liú"
"若榴","ruò liú"
"若卵投石","ruò luǎn tóu shí"
"若明若暗","ruò mínɡ ruò àn"
"若明若昧","ruò mínɡ ruò mèi"
"若木","ruò mù"
"若乃","ruò nǎi"
"若烹小鲜","ruò pēnɡ xiǎo xiān"
"若其","ruò qí"
"若然","ruò rán"
"若如","ruò rú"
"若若","ruò ruò"
"若丧考妣","ruò sànɡ kǎo bǐ"
"若涉渊冰","ruò shè yuān bīnɡ"
"若涉渊水","ruò shè yuān shuǐ"
"若时","ruò shí"
"若使","ruò shǐ"
"若士","ruò shì"
"若淑","ruò shū"
"若水","ruò shuǐ"
"若斯","ruò sī"
"若荪","ruò sūn"
"若为","ruò wéi"
"若韑","ruò wěi"
"若无其事","ruò wú qí shì"
"若下","ruò xià"
"若下酒","ruò xià jiǔ"
"若邪","ruò xié"
"若许","ruò xǔ"
"若耶","ruò yē"
"若耶溪","ruò yē xī"
"若隐若现","ruò yǐn ruò xiàn"
"若英","ruò yīnɡ"
"若有若无","ruò yǒu ruò wú"
"若有所失","ruò yǒu suǒ shī"
"若有所思","ruò yǒu suǒ sī"
"若者","ruò zhě"
"若之何","ruò zhī hé"
"若属","ruò shǔ"
"弱本强末","ruò běn qiánɡ mò"
"弱不好弄","ruò bù hǎo nònɡ"
"弱不禁风","ruò bù jìn fēnɡ"
"弱不胜衣","ruò bù shènɡ yī"
"弱步","ruò bù"
"弱才","ruò cái"
"弱辰","ruò chén"
"弱齿","ruò chǐ"
"弱翅","ruò chì"
"弱敌","ruò dí"
"弱弟","ruò dì"
"弱蒂","ruò dì"
"弱点","ruò diǎn"
"弱电","ruò diàn"
"弱房","ruò fánɡ"
"弱风","ruò fēnɡ"
"弱弓","ruò ɡōnɡ"
"弱孤","ruò ɡū"
"弱骨","ruò ɡǔ"
"弱寡","ruò ɡuǎ"
"弱冠","ruò ɡuàn"
"弱管","ruò ɡuǎn"
"弱翰","ruò hàn"
"弱毫","ruò háo"
"弱疾","ruò jí"
"弱甲","ruò jiǎ"
"弱口","ruò kǒu"
"弱累","ruò lèi"
"弱力","ruò lì"
"弱劣","ruò liè"
"弱龄","ruò línɡ"
"弱柳","ruò liǔ"
"弱袂","ruò mèi"
"弱门","ruò mén"
"弱民","ruò mín"
"弱年","ruò nián"
"弱弄","ruò nònɡ"
"弱女","ruò nǚ"
"弱懦","ruò nuò"
"弱情","ruò qínɡ"
"弱人","ruò rén"
"弱丧","ruò sànɡ"
"弱尚","ruò shànɡ"
"弱蕂","ruò shènɡ"
"弱视","ruò shì"
"弱室","ruò shì"
"弱守","ruò shǒu"
"弱水","ruò shuǐ"
"弱思","ruò sī"
"弱岁","ruò suì"
"弱土","ruò tǔ"
"弱湍","ruò tuān"
"弱腕","ruò wàn"
"弱猥","ruò wěi"
"弱析","ruò xī"
"弱息","ruò xī"
"弱緆","ruò xī"
"弱习","ruò xí"
"弱小","ruò xiǎo"
"弱絮","ruò xù"
"弱颜","ruò yán"
"弱羽","ruò yǔ"
"弱渊","ruò yuān"
"弱愿","ruò yuàn"
"弱约","ruò yuē"
"三分","sān fēn"
"三分发","sān fēn fā"
"三分国","sān fēn ɡuó"
"三分天下有其二","sān fēn tiān xià yǒu qí èr"
"三坟","sān fén"
"三坟五典","sān fén wǔ diǎn"
"三风","sān fēnɡ"
"三风十愆","sān fēnɡ shí qiān"
"三风太守","sān fēnɡ tài shǒu"
"三峰","sān fēnɡ"
"三凤","sān fènɡ"
"三夫成市虎","sān fū chénɡ shì hǔ"
"三夫人","sān fū rén"
"三夫之对","sān fū zhī duì"
"三夫之言","sān fū zhī yán"
"三福","sān fú"
"三甫","sān fǔ"
"三府","sān fǔ"
"三釜","sān fǔ"
"三釜养","sān fǔ yǎnɡ"
"三鬴","sān là"
"三父八母","sān fù bā mǔ"
"三妇","sān fù"
"三妇艳","sān fù yàn"
"三复","sān fù"
"三复白圭","sān fù bái ɡuī"
"三副","sān fù"
"三赋","sān fù"
"三覆","sān fù"
"三陔","sān ɡāi"
"三垓","sān ɡāi"
"三改兔","sān ɡǎi tù"
"三干","sān ɡàn"
"三竿","sān ɡān"
"三竿日","sān ɡān rì"
"三纲","sān ɡānɡ"
"三高","sān ɡāo"
"三告官","sān ɡào ɡuān"
"三告投杼","sān ɡào tóu zhù"
"三阁","sān ɡé"
"三革","sān ɡé"
"三个臭皮匠，合成一个诸葛亮","sān ɡè chòu pí jiànɡ  hé chénɡ yī ɡè zhū ɡě liànɡ"
"三更","sān ɡènɡ"
"三庚","sān ɡēnɡ"
"三工官","sān ɡōnɡ ɡuān"
"三公山碑","sān ɡōnɡ shān bēi"
"三公子","sān ɡōnɡ zǐ"
"三宫","sān ɡōnɡ"
"三宫六院","sān ɡōnɡ liù yuàn"
"三狗","sān ɡǒu"
"三垢","sān ɡòu"
"三估","sān ɡū"
"三姑","sān ɡū"
"三姑六婆","sān ɡū liù pó"
"三孤","sān ɡū"
"三古","sān ɡǔ"
"三鼓","sān ɡǔ"
"三嘏","sān ɡǔ"
"三顾","sān ɡù"
"三顾草庐","sān ɡù cǎo lú"
"三关","sān ɡuān"
"三关语","sān ɡuān yǔ"
"三观","sān ɡuān"
"三官","sān ɡuān"
"三官钱","sān ɡuān qián"
"三官手书","sān ɡuān shǒu shū"
"三官堂","sān ɡuān tánɡ"
"三冠","sān ɡuàn"
"三馆","sān ɡuǎn"
"三归","sān ɡuī"
"三圭","sān ɡuī"
"三皈","sān ɡuī"
"三珪","sān "
"三癸亭","sān ɡuǐ tínɡ"
"三贵","sān ɡuì"
"三跪九叩","sān ɡuì jiǔ kòu"
"三虢","sān ɡuó"
"三过","sān ɡuò"
"三过笔","sān ɡuò bǐ"
"三海","sān hǎi"
"三害","sān hài"
"三韩","sān hán"
"三韩纸","sān hán zhǐ"
"三豪","sān háo"
"三好","sān hǎo"
"三好两歹","sān hǎo liǎnɡ dǎi"
"三号","sān hào"
"三合","sān hé"
"三合板","sān hé bǎn"
"三合会","sān hé huì"
"三何","sān hé"
"三和","sān hé"
"三翮六翼","sān hé liù yì"
"三恨","sān hèn"
"三衡","sān hénɡ"
"三红秀才","sān hónɡ xiù cái"
"三洪","sān hónɡ"
"三侯","sān hòu"
"三侯之章","sān hòu zhī zhānɡ"
"三后","sān hòu"
"三候","sān hòu"
"三胡","sān hú"
"三壶","sān hú"
"三虎","sān hǔ"
"三互法","sān hù fǎ"
"三户","sān hù"
"三户亡秦","sān hù wánɡ qín"
"三护","sān hù"
"三花","sān huā"
"三花聚顶","sān huā jù dǐnɡ"
"三花脸","sān huā liǎn"
"三淮南","sān huái nán"
"三槐九棘","sān huái jiǔ jí"
"三槐堂","sān huái tánɡ"
"三槐之听","sān huái zhī tīnɡ"
"三环五扣","sān huán wǔ kòu"
"三桓","sān huán"
"三浣","sān huàn"
"三患","sān huàn"
"三澣","sān "
"三荒五月","sān huānɡ wǔ yuè"
"三皇五帝","sān huánɡ wǔ dì"
"三黄","sān huánɡ"
"三簧锁","sān huánɡ suǒ"
"三麾","sān huī"
"三徽","sān huī"
"三回九转","sān huí jiǔ zhuǎn"
"三回五次","sān huí wǔ cì"
"三回五解","sān huí wǔ jiě"
"三会","sān huì"
"三秽","sān huì"
"三惠","sān huì"
"三荤五厌","sān hūn wǔ yàn"
"三魂","sān hún"
"三魂出窍","sān hún chū qiào"
"三魂七魄","sān hún qī pò"
"三火","sān huǒ"
"三惑","sān huò"
"三击掌","sān jī zhǎnɡ"
"三饥两饱","sān jī liǎnɡ bǎo"
"三极","sān jí"
"三极管","sān jí ɡuǎn"
"三疾","sān jí"
"三棘六异","sān jí liù yì"
"三脊茅","sān jǐ máo"
"三戟","sān jǐ"
"三季","sān jì"
"三祭","sān jì"
"三加","sān jiā"
"三家","sān jiā"
"三家店","sān jiā diàn"
"三家分晋","sān jiā fēn jìn"
"三家诗","sān jiā shī"
"三甲","sān jiǎ"
"三驾","sān jià"
"三奸","sān jiān"
"三尖两刃刀","sān jiān liǎnɡ rèn dāo"
"三监","sān jiān"
"三缄","sān jiān"
"三缄其口","sān jiān qí kǒu"
"山腰","shān yāo"
"山肴海错","shān yáo hǎi cuò"
"山肴野蔌","shān yáo yě sù"
"山摇地动","shān yáo dì dònɡ"
"山猺","shān yáo"
"山遥水远","shān yáo shuǐ yuǎn"
"山謡","shān "
"山药","shān yào"
"山药蛋","shān yào dàn"
"山埜","shān yě"
"山野","shān yě"
"山腋","shān yè"
"山衣","shān yī"
"山夷","shān yí"
"山屹塔","shān yì tǎ"
"山邑","shān yì"
"山驿","shān yì"
"山意","shān yì"
"山阴","shān yīn"
"山阴乘兴","shān yīn chénɡ xīnɡ"
"山阴道","shān yīn dào"
"山阴道上","shān yīn dào shànɡ"
"山阴道上，应接不暇","shān yīn dào shànɡ  yīnɡ jiē bù xiá"
"山阴客","shān yīn kè"
"山阴兴","shān yīn xīnɡ"
"山阴夜雪","shān yīn yè xuě"
"山吟泽唱","shān yín zé chànɡ"
"山垠","shān yín"
"山淫","shān yín"
"山蚓","shān yǐn"
"山隐","shān yǐn"
"山英","shān yīnɡ"
"山樱","shān yīnɡ"
"山营","shān yínɡ"
"山楹","shān yínɡ"
"山影","shān yǐnɡ"
"山幽","shān yōu"
"山邮","shān yóu"
"山游","shān yóu"
"山右","shān yòu"
"山狖","shān yòu"
"山隅","shān yú"
"山嵎","shān yú"
"山畬","shān "
"山虞","shān yú"
"山舆","shān yú"
"山宇","shān yǔ"
"山雨","shān yǔ"
"山雨欲来风满楼","shān yǔ yù lái fēnɡ mǎn lóu"
"山芋","shān yù"
"山妪","shān yù"
"山蓣","shān yù"
"山渊","shān yuān"
"山园","shān yuán"
"山原","shān yuán"
"山塬","shān yuán"
"山源","shān yuán"
"山院","shān yuàn"
"山岳","shān yuè"
"山越","shān yuè"
"山藻","shān zǎo"
"山泽","shān zé"
"山贼","shān zéi"
"山楂","shān zhā"
"山樝","shān "
"山鲊","shān "
"山斋","shān zhāi"
"山砦","shān zhai"
"山寨","shān zhai"
"山涨","shān zhǎnɡ"
"山丈","shān zhànɡ"
"山障","shān zhànɡ"
"山嶂","shān zhànɡ"
"山瘴","shān zhànɡ"
"山照","shān zhào"
"山鹧","shān zhè"
"山珍海错","shān zhēn hǎi cuò"
"山珍海胥","shān zhēn hǎi xū"
"山枕","shān zhěn"
"山镇","shān zhèn"
"山栀","shān zhī"
"山踯躅","shān zhí zhú"
"山止川行","shān zhǐ chuān xínɡ"
"山址","shān zhǐ"
"山趾","shān zhǐ"
"山志","shān zhì"
"山峙渊渟","shān zhì yuān tīnɡ"
"山雉","shān zhì"
"山中无好汉，猢狲称霸王","shān zhōnɡ wú hǎo hàn  hú sūn chēnɡ bà wánɡ"
"山中相","shān zhōnɡ xiānɡ"
"山中宰相","shān zhōnɡ zǎi xiānɡ"
"山钟","shān zhōnɡ"
"山冢","shān zhǒnɡ"
"山众","shān zhònɡ"
"山重水复","shān zhònɡ shuǐ fù"
"山州","shān zhōu"
"山周","shān zhōu"
"山茱萸","shān zhū yú"
"山猪","shān zhū"
"山主","shān zhǔ"
"山铸","shān zhù"
"山庄","shān zhuānɡ"
"山酌","shān zhuó"
"山啄木","shān zhuó mù"
"山赀","shān zī"
"山资","shān zī"
"山觜","shān zī"
"山子","shān zǐ"
"山字","shān zì"
"山字肩","shān zì jiān"
"山字镜","shān zì jìnɡ"
"山字太守","shān zì tài shǒu"
"山宗","shān zōnɡ"
"山陬","shān zōu"
"山陬海澨","shān zōu hǎi "
"山足","shān zú"
"山阻","shān zǔ"
"山嘴","shān zuǐ"
"山尊","shān zūn"
"山樽","shān zūn"
"山左","shān zuǒ"
"山j","shān "
"彡姐","sān jiě"
"彡彡","sān sān"
"删本","shān běn"
"删补","shān bǔ"
"删裁","shān cái"
"删采","shān cǎi"
"删除","shān chú"
"删次","shān cì"
"删窜","shān cuàn"
"删存","shān cún"
"删订","shān dìnɡ"
"删定","shān dìnɡ"
"删定曹","shān dìnɡ cáo"
"删定官","shān dìnɡ ɡuān"
"删定郎","shān dìnɡ lánɡ"
"删繁","shān fán"
"删繁就简","shān fán jiù jiǎn"
"删改","shān ɡǎi"
"删割","shān ɡē"
"删革","shān ɡé"
"删华就素","shān huá jiù sù"
"删缉","shān jī"
"删减","shān jiǎn"
"删剪","shān jiǎn"
"删简","shān jiǎn"
"删翦","shān jiǎn"
"删节","shān jié"
"删节本","shān jié běn"
"删节号","shān jié hào"
"删举","shān jǔ"
"删掠","shān lüě"
"删略","shān lüè"
"删落","shān luò"
"删抹","shān mò"
"删藄","shān tì"
"删弃","shān qì"
"沙铫子","shā yáo zǐ"
"沙汀","shā tīnɡ"
"沙汀(1904-1992)","shā tīnɡ           "
"沙头","shā tóu"
"沙涂","shā tú"
"沙屠","shā tú"
"沙土","shā tǔ"
"沙陀","shā tuó"
"沙外","shā wài"
"沙丸","shā wán"
"沙尾","shā wěi"
"沙鳁","shā wēn"
"沙文","shā wén"
"沙文主义","shā wén zhǔ yì"
"沙窝","shā wō"
"沙坞","shā wù"
"沙悟浄","shā wù jìnɡ"
"沙西","shā xī"
"沙犀","shā xī"
"沙戏","shā xì"
"沙线","shā xiàn"
"沙蟹","shā xiè"
"沙杏","shā xìnɡ"
"沙岫","shā xiù"
"沙墟","shā xū"
"沙溆","shā xù"
"沙潊","shā xù"
"沙噀","shā xùn"
"沙压","shā yā"
"沙哑","shā yǎ"
"沙衍","shā yǎn"
"沙眼","shā yǎn"
"沙魇","shā yǎn"
"沙堰","shā yàn"
"沙雁","shā yàn"
"沙鴈","shā lì"
"沙燕","shā yàn"
"沙瑶","shā yáo"
"沙衣","shā yī"
"沙壹","shā yī"
"沙壅","shā yōnɡ"
"沙勇","shā yǒnɡ"
"沙鱼","shā yú"
"沙鱼鞘","shā yú qiào"
"沙屿","shā yǔ"
"沙羽","shā yǔ"
"沙雨","shā yǔ"
"沙浴","shā yù"
"沙原","shā yuán"
"沙苑","shā yuàn"
"沙月","shā yuè"
"沙云","shā yún"
"沙枣","shā zǎo"
"沙咤","shā zhà"
"沙咤利","shā zhà lì"
"沙涨","shā zhǎnɡ"
"沙蒸","shā zhēnɡ"
"沙沚","shā zhǐ"
"沙州","shā zhōu"
"沙渚","shā zhǔ"
"沙柱","shā zhù"
"沙筯","shā qiónɡ"
"沙箸","shā zhù"
"沙篆","shā zhuàn"
"沙椎","shā zhuī"
"沙觜","shā zī"
"沙子","shā zǐ"
"沙子灯","shā zǐ dēnɡ"
"沙子玉","shā zǐ yù"
"沙嘴","shā zuǐ"
"纱布","shā bù"
"纱厂","shā chǎnɡ"
"纱厨","shā chú"
"纱橱","shā chú"
